,period,product_name,product_sku,net_sales,gross_margin
0,30,3 STRIPEY MICE FELTCRAFT,#sku_187,1374.72,46.97
1,30,BLUE/YELLOW FLOWER DESIGN BIG MUG,#sku_1757,1890.16,27.83
2,30,IVORY HANGING DECORATION  BIRD,#sku_2060,2362.93,27.42
3,30,SET OF 4 NAPKIN CHARMS 3 KEYS ,#sku_1099,2496.64,11.08
4,30,BLACK VINT ART DEC CRYSTAL NECKLACE,#sku_2994,3824.94,10.26
5,30,RED RETROSPOT TRADITIONAL TEAPOT ,#sku_1411,4351.49,21.91
6,30,WRAP MONSTER FUN ,#sku_2709,5168.9,12.1
7,30,CHERRY BLOSSOM  DECORATIVE FLASK,#sku_917,76.86,19.58
8,30,S/4 BLACK MINI ROSE CANDLE IN BOWL,#sku_2078,85.04,15.5
9,30,EASTER DECORATION NATURAL CHICK,#sku_823,159.53,20.28
10,30,MAGIC SHEEP WOOL GROWING FROM PAPER,#sku_2380,219.58,17.0
11,30,MULTICOLOUR EASTER RABBIT ,#sku_2789,260.62,19.32
12,30,GREEN GOOSE FEATHER CHRISTMAS TREE ,#sku_1722,335.45,21.73
13,30,YELLOW COAT RACK PARIS FASHION,#sku_24,347.8,12.52
14,30,EAU DE NILE JEWELLED PHOTOFRAME,#sku_2702,360.45,24.66
15,30,CLASSIC FRENCH STYLE BASKET BROWN,#sku_2701,374.48,16.45
16,30,RED RETROSPOT OVEN GLOVE ,#sku_456,378.59,15.59
17,30,SET OF 2 TINS JARDIN DE PROVENCE,#sku_523,1198.59,15.93
18,30,POPART RECT PENCIL SHARPENER ASST,#sku_2451,1304.76,24.58
19,30,SET 7 BABUSHKA NESTING BOXES,#sku_6,1617.92,22.98
20,30,PLACE SETTING WHITE HEART,#sku_568,1902.64,-15.05
21,30,SILK PURSE BABUSHKA RED,#sku_226,2252.09,42.32
22,30,SILVER M.O.P ORBIT DROP EARRINGS,#sku_937,2753.09,32.38
23,30,ASS COL SMALL SAND GECKO P'WEIGHT,#sku_632,4241.17,18.34
24,30,TOMATO CHARLIE+LOLA COASTER SET,#sku_74,5272.52,16.61
25,30,PINK MURANO TWIST BRACELET,#sku_2336,5530.77,29.9
26,30,DECORATIVE PLANT POT WITH FRIEZE,#sku_722,5945.78,22.03
27,30,BLACK CHAMPAGNE GLASS,#sku_1526,7455.79,9.84
28,30,CHOCOLATE HOT WATER BOTTLE,#sku_219,66.68,-3.74
29,30,GOLD/AMBER DROP EARRINGS W LEAF,#sku_2521,241.7,24.08
30,30,TRADITIONAL MODELLING CLAY,#sku_858,288.65,1.86
31,30,NINJA RABBIT BLACK,#sku_2160,312.27,21.65
32,30,PAIR BUTTERFLY HAIR CLIPS,#sku_1312,397.41,40.49
33,30,FLAMES SUNGLASSES PINK LENSES,#sku_2919,525.11,42.85
34,30,BLUE PATCH PURSE PINK HEART,#sku_969,584.7,26.96
35,30,SILVER FISHING GNOME ,#sku_1579,594.78,35.82
36,30,ABSTRACT CIRCLES POCKET BOOK,#sku_2401,727.97,18.33
37,30,I CAN ONLY PLEASE ONE PERSON MUG,#sku_711,762.67,17.41
38,30,SWEET PUDDING STICKER SHEET,#sku_1041,871.36,13.64
39,30,AREA PATROLLED METAL SIGN,#sku_1273,900.04,18.29
40,30,MAGIC DRAWING SLATE PURDEY,#sku_1234,930.82,21.32
41,30,GREY ACRYLIC FACETED BANGLE,#sku_2555,982.04,2.24
42,30,3D CHRISTMAS STAMPS STICKERS ,#sku_517,985.48,2.4
43,30,LOVE POTION MASALA INCENSE,#sku_2216,1099.65,13.64
44,30,WHITE GOOSE FEATHER CHRISTMAS TREE ,#sku_1020,1417.52,53.07
45,30,FELTCRAFT BOY JEAN-PAUL KIT,#sku_3083,1950.82,17.69
46,30,FELTCRAFT DOLL MARIA,#sku_1350,2219.47,26.97
47,30,PEACH KNITTED HEN ,#sku_2834,2305.38,28.79
48,30,EMPIRE DESIGN ROSETTE,#sku_2437,2324.45,14.95
49,30,FELTCRAFT CHRISTMAS FAIRY,#sku_371,2642.39,12.02
50,30,FAIRY TALE COTTAGE NIGHTLIGHT,#sku_145,2937.88,37.15
51,30,CUPCAKE LACE PAPER SET 6,#sku_438,3263.22,16.86
52,30,JUMBO BAG PINK VINTAGE PAISLEY,#sku_78,3346.0,34.11
53,30,NUMBER TILE VINTAGE FONT 2,#sku_2581,3604.13,9.55
54,30,RED RETROSPOT CAKE STAND,#sku_725,4740.64,48.73
55,30,ENGLISH ROSE SMALL SCENTED FLOWER,#sku_2419,4898.86,38.47
56,30,BLUE POLKADOT PLATE ,#sku_367,14464.33,24.99
57,30,RED RETROSPOT WRAP ,#sku_685,49.97,10.27
58,30,HELLO SAILOR BLUE SOAP HOLDER,#sku_1769,172.74,14.7
59,30,BLACK SWEETHEART BRACELET,#sku_487,183.41,10.42
60,30,RED DAISY POCKET BOOK ,#sku_1520,184.47,24.62
61,30,JIGSAW TOADSTOOLS 3 PIECE,#sku_2494,293.85,31.51
62,30,RED RETROSPOT BIG BOWL,#sku_2311,342.88,19.93
63,30,SET OF 2 WOODEN MARKET CRATES,#sku_560,407.12,10.79
64,30,HOLIDAY FUN LUDO,#sku_857,502.56,23.61
65,30,"ART LIGHTS,FUNK MONKEY",#sku_1083,528.81,17.76
66,30,METAL DECORATION NAUGHTY CHILDREN ,#sku_879,569.08,32.13
67,30,NUMBER TILE VINTAGE FONT 3,#sku_1672,732.86,14.6
68,30,CERAMIC STRAWBERRY MONEY BOX,#sku_450,784.21,87.72
69,30,SCOTTIE DOGS BABY BIB,#sku_897,861.75,23.26
70,30,BLUE BLOSSOM HAIR CLIP,#sku_2711,876.36,23.44
71,30,WOODLAND PARTY BAG + STICKER SET,#sku_1222,886.14,28.71
72,30,VINTAGE PINK DECORATIVE PARASOL,#sku_2011,921.04,23.79
73,30,VINTAGE CREAM CAT FOOD CONTAINER,#sku_971,969.64,15.84
74,30,BAROQUE BUTTERFLY EARRINGS PINK,#sku_3081,1004.8,42.1
