,0,1,2,3,4,5,6,7,8,9,10,11
0,0,30,3 STRIPEY MICE FELTCRAFT,#sku_187,1374.72,46.97,2430,30,3 STRIPEY MICE FELTCRAFT,#sku_187,271,661
1,1,30,BLUE/YELLOW FLOWER DESIGN BIG MUG,#sku_1757,1890.16,27.83,2695,30,BLUE/YELLOW FLOWER DESIGN BIG MUG,#sku_1757,1022,2342
2,3,30,SET OF 4 NAPKIN CHARMS 3 KEYS ,#sku_1099,2496.64,11.08,1196,30,SET OF 4 NAPKIN CHARMS 3 KEYS ,#sku_1099,246,1673
3,4,30,BLACK VINT ART DEC CRYSTAL NECKLACE,#sku_2994,3824.94,10.26,1074,30,BLACK VINT ART DEC CRYSTAL NECKLACE,#sku_2994,3272,48723
4,5,30,RED RETROSPOT TRADITIONAL TEAPOT ,#sku_1411,4351.49,21.91,2604,30,RED RETROSPOT TRADITIONAL TEAPOT ,#sku_1411,2070,24847
5,6,30,WRAP MONSTER FUN ,#sku_2709,5168.9,12.1,3095,30,WRAP MONSTER FUN ,#sku_2709,1477,4190
6,7,30,CHERRY BLOSSOM  DECORATIVE FLASK,#sku_917,76.86,19.58,1880,30,CHERRY BLOSSOM  DECORATIVE FLASK,#sku_917,711,2394
7,8,30,S/4 BLACK MINI ROSE CANDLE IN BOWL,#sku_2078,85.04,15.5,448,30,S/4 BLACK MINI ROSE CANDLE IN BOWL,#sku_2078,21,35
8,9,30,EASTER DECORATION NATURAL CHICK,#sku_823,159.53,20.28,532,30,EASTER DECORATION NATURAL CHICK,#sku_823,100,103
9,10,30,MAGIC SHEEP WOOL GROWING FROM PAPER,#sku_2380,219.58,17.0,2912,30,MAGIC SHEEP WOOL GROWING FROM PAPER,#sku_2380,63,92
10,11,30,MULTICOLOUR EASTER RABBIT ,#sku_2789,260.62,19.32,964,30,MULTICOLOUR EASTER RABBIT ,#sku_2789,106,192
11,12,30,GREEN GOOSE FEATHER CHRISTMAS TREE ,#sku_1722,335.45,21.73,224,30,GREEN GOOSE FEATHER CHRISTMAS TREE ,#sku_1722,382,692
12,13,30,YELLOW COAT RACK PARIS FASHION,#sku_24,347.8,12.52,900,30,YELLOW COAT RACK PARIS FASHION,#sku_24,64,111
